date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:02	13241/13241	---M--	200	added ('OK')	image/jpeg	etag:%2233b9-54a3a4d89fa40%22	http://keydesign-themes.com/intact/images/demo2.jpg	D:/techlopers/keydesign-themes.com/intact/images/demo2.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:54:02	260831/260831	---M--	200	added ('OK')	image/jpeg	etag:%223fadf-552efcad84cad%22	http://keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/bg1-1.jpg	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/bg1-1.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:54:03	20344/20344	---M--	200	added ('OK')	image/jpeg	etag:%224f78-54a39ed37c640%22	http://keydesign-themes.com/intact/images/demo1.jpg	D:/techlopers/keydesign-themes.com/intact/images/demo1.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:54:04	294435/294435	---M--	200	added ('OK')	image/jpeg	etag:%2247e23-552efc9afbdd0%22	http://keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/img1-1.jpg	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/uploads/sites/17/2017/03/img1-1.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:54:04	11715/11715	---M--	200	added ('OK')	image/jpeg	etag:%222dc3-54a3a4e505780%22	http://keydesign-themes.com/intact/images/demo4.jpg	D:/techlopers/keydesign-themes.com/intact/images/demo4.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:54:05	16553/16553	---M--	200	added ('OK')	image/jpeg	etag:%2240a9-54a3a4dd64580%22	http://keydesign-themes.com/intact/images/demo3.jpg	D:/techlopers/keydesign-themes.com/intact/images/demo3.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:54:05	14313/14313	---M--	200	added ('OK')	image/jpeg	etag:%2237e9-54a3a4f16b4c0%22	http://keydesign-themes.com/intact/images/demo5.jpg	D:/techlopers/keydesign-themes.com/intact/images/demo5.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:54:07	14918/14918	---M--	200	added ('OK')	image/jpeg	etag:%223a46-54a3a4f630000%22	http://keydesign-themes.com/intact/images/demo6.jpg	D:/techlopers/keydesign-themes.com/intact/images/demo6.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:54:07	12708/12708	---M--	200	added ('OK')	image/jpeg	etag:%2231a4-54a3a500ad8c0%22	http://keydesign-themes.com/intact/images/demo8.jpg	D:/techlopers/keydesign-themes.com/intact/images/demo8.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:54:07	12168/12168	---M--	200	added ('OK')	image/jpeg	etag:%222f88-54ad6f667ae40%22	http://keydesign-themes.com/intact/images/demo9.jpg	D:/techlopers/keydesign-themes.com/intact/images/demo9.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:54:07	18690/18690	---M--	200	added ('OK')	image/jpeg	etag:%224902-54a3a4faf4b40%22	http://keydesign-themes.com/intact/images/demo7.jpg	D:/techlopers/keydesign-themes.com/intact/images/demo7.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:54:08	14906/14906	---M--	200	added ('OK')	image/jpeg	etag:%223a3a-54ad6f9906580%22	http://keydesign-themes.com/intact/images/demo10.jpg	D:/techlopers/keydesign-themes.com/intact/images/demo10.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:54:09	847/847	---M--	200	added ('OK')	image/gif	etag:%2234f-555e9674107a2%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/contact-form-7/images/ajax-loader.gif	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from http://keydesign-themes.com/intact/corporate/wp-content/cache/autoptimize/17/css/autoptimize_971b6015c1a25b037ac07b7286ee258f.css)
11:54:09	10406/10406	---M--	200	added ('OK')	image/jpeg	etag:%2228a6-54ad702aefdc0%22	http://keydesign-themes.com/intact/images/demo11.jpg	D:/techlopers/keydesign-themes.com/intact/images/demo11.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:54:09	1697/1697	---M--	200	added ('OK')	image/png	etag:%226a1-547b36f682ced%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/keydesign-addon/assets/img/quote1.png	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/keydesign-addon/assets/img/quote1.png	(from http://keydesign-themes.com/intact/corporate/wp-content/cache/autoptimize/17/css/autoptimize_971b6015c1a25b037ac07b7286ee258f.css)
11:54:09	12349/12349	---M--	200	added ('OK')	image/jpeg	etag:%22303d-54ad707646f80%22	http://keydesign-themes.com/intact/images/demo12.jpg	D:/techlopers/keydesign-themes.com/intact/images/demo12.jpg	(from http://keydesign-themes.com/intact/corporate/)
11:54:09	12136/12136	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f68-55264beb349c7-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.eot?5510888	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.eot	(from http://keydesign-themes.com/intact/corporate/wp-content/cache/autoptimize/17/css/autoptimize_971b6015c1a25b037ac07b7286ee258f.css)
11:54:10	16816/16816	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2241b0-53b9ce7f3ba00-gzip%22	http://keydesign-themes.com/intact/corporate/wp-content/themes/intact/fonts/nucleo-outline.eot	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/themes/intact/fonts/nucleo-outline.eot	(from http://keydesign-themes.com/intact/corporate/wp-content/cache/autoptimize/17/css/autoptimize_971b6015c1a25b037ac07b7286ee258f.css)
11:54:10	302/302	---M--	200	added ('OK')	image/png	etag:%2212e-54c7b4066cbcb%22	http://keydesign-themes.com/intact/corporate/wp-content/plugins/js_composer/assets/vc/alert.png	D:/techlopers/keydesign-themes.com/intact/corporate/wp-content/plugins/js_composer/assets/vc/alert.png	(from http://keydesign-themes.com/intact/corporate/wp-content/cache/autoptimize/17/css/autoptimize_971b6015c1a25b037ac07b7286ee258f.css)
